StateAb,Ticket,TicketNo,Surname,GivenName,Party,Preference
VIC, F,1,HUGHES,Vern,Australian Voice Party,10
VIC, F,2,HUGHES,Vern,Australian Voice Party,10
VIC, F,3,HUGHES,Vern,Australian Voice Party,10
VIC, G,1,PAPAFOTIOU,Frank,Australian Christians,10
VIC, H,1,WILMS,Tim,Liberal Democrats,10
VIC, I,1,HOPKINS,Ange,Sex Party,10
VIC, J,1,SHERMAN,John,Drug Law Reform,10
VIC, K,1,QUIRK,Jill,Stable Population Party,10
VIC, L,1,PHILLIPS,Steve,Bullet Train For Australia,10
VIC, L,2,PHILLIPS,Steve,Bullet Train For Australia,10
VIC, L,3,PHILLIPS,Steve,Bullet Train For Australia,10
VIC, N,1,RIGONI,Paul,Bank Reform Party,10
VIC, O,1,RIGONI,Paul,Bank Reform Party,10
VIC, P,1,GILL,Craig A,Australian Motoring Enthusiast Party,10
VIC, Q,1,FLETCHER,Ryan William,Help End Marijuana Prohibition (HEMP) Party,10
VIC, R,1,PAPAFOTIOU,Frank,Australian Christians,10
VIC, S,1,PATTEN,Fiona,Sex Party,10
VIC, T,1,SEKHON,Gurm,The Greens,10
VIC, U,1,HOWE,Roger,Australian Democrats,10
VIC, V,1,TOWNSEND,Rosalyn Lee,One Nation,10
VIC, W,1,ISGRO,Sarina,Australian Democrats,10
VIC, Y,1,SMITH,Tony,Senator Online (Internet Voting Bills/Issues),10
VIC, Z,1,SMITH,Tony,Senator Online (Internet Voting Bills/Issues),10
VIC, Z,2,SMITH,Tony,Senator Online (Internet Voting Bills/Issues),10
VIC,AA,1,WHELAN,Peter William,Liberal Democrats,10
VIC,AB,1,SHERMAN,John,Drug Law Reform,10
VIC,AB,2,SHERMAN,John,Drug Law Reform,10
VIC,AC,1,COLLYER,David,Australian Democrats,10
VIC,AD,1,CHRISTOE,Ian J,The Greens,10
VIC,AF,1,FLETCHER,Ryan William,Help End Marijuana Prohibition (HEMP) Party,10
VIC,AF,2,FLETCHER,Ryan William,Help End Marijuana Prohibition (HEMP) Party,10
VIC,AG,1,RAINES,Greg,Australian Democrats,10
VIC,AH,1,RODDA,John,No Carbon Tax Climate Sceptics,10
VIC,AI,1,DANIELI,Robert,Katter's Australian Party,10
